,zip,latitude,longitude
0,80002,39.79,-105.11
1,80003,39.83,-105.06
2,80004,39.82,-105.1
3,80005,39.85,-105.13
4,80031,39.88,-105.05
5,80033,39.77,-105.09
6,80110,39.64,-104.99
7,80123,39.62,-105.07
8,80127,39.57,-105.14
9,80128,39.56,-105.08
10,80204,39.73,-105.02
11,80211,39.77,-105.02
12,80212,39.77,-105.05
13,80214,39.74,-105.07
14,80215,39.74,-105.12
15,80219,39.7,-105.04
16,80221,39.82,-105.01
17,80226,39.71,-105.09
18,80227,39.67,-105.09
19,80228,39.69,-105.17
20,80232,39.69,-105.09
21,80236,39.65,-105.04
22,80401,39.73,-105.21
23,80454,39.62,-105.23
24,80465,39.65,-105.18
