zip,latitude,longitude
80002,39.79,-105.11
80003,39.83,-105.06
80004,39.82,-105.1
80005,39.85,-105.13
80031,39.88,-105.05
80033,39.77,-105.09
80110,39.64,-104.99
80123,39.62,-105.07
80127,39.57,-105.14
80128,39.56,-105.08
80204,39.73,-105.02
80211,39.77,-105.02
80212,39.77,-105.05
80214,39.74,-105.07
80215,39.74,-105.12
80219,39.7,-105.04
80221,39.82,-105.01
80226,39.71,-105.09
80227,39.67,-105.09
80228,39.69,-105.17
80232,39.69,-105.09
80236,39.65,-105.04
80401,39.73,-105.21
80454,39.62,-105.23
80465,39.65,-105.18
